시군,읍면동,통리,반,관할구역,검색키,자동검색키수
화성시,향남읍,미정,미정,"A21, A22 행복주택",,0
화성시,향남읍,미정,미정,향남2택지 B-16블록(부영 16단지),,0
화성시,향남읍,미정,미정,향남2택지 A-20블록(서봉마을 행복주택),,0
화성시,향남읍,미정,미정,상신2지구 공동주택,,0
오산시,세마동,미정,미정,세교1택지지구 단독 1블록,,0
화성시,봉담읍,상1리,1반,상리 산17~100,,0
화성시,봉담읍,상1리,2반,상리 101~185,,4
화성시,봉담읍,상1리,3반,상리 185~207,,0
화성시,봉담읍,상2리,1반,상리 357~394,,25
화성시,봉담읍,상2리,2반,상리 240~248,,5
화성시,봉담읍,상2리,3반,상리 산20~산50,,0
화성시,봉담읍,상3리,1반,"상리 산13, 15-25, 459",,0
화성시,봉담읍,상3리,2반,상리 27부터 39까지,,21
화성시,봉담읍,상3리,3반,"상리 40~43, 산22~산25",,0
화성시,봉담읍,상3리,4반,"상리 191~207, 산42",,0
화성시,봉담읍,상4리,1반,상리 21-2 한신A 101동(1호~4호),,2
화성시,봉담읍,상4리,2반,상리 21-2 한신A 101동(5호~8호),,2
화성시,봉담읍,상4리,3반,상리 21-2 한신A 102동(1호~6호),,2
화성시,봉담읍,상4리,4반,상리 21-2 한신A 102동(7호~12호),,2
화성시,봉담읍,상4리,5반,상리 21-2 한신A 103동(1호~4호),,2
화성시,봉담읍,상4리,6반,상리 21-2 한신A 103동(5호~8호),,2
화성시,봉담읍,상4리,7반,상리 21-2 한신A 104동(1호~2호),,2
화성시,봉담읍,상4리,8반,상리 21-2 한신A 105동(1호~4호),,2
화성시,봉담읍,상4리,9반,상리 21-2 한신A 105동(5호~8호),,2
화성시,봉담읍,상5리,1반,상리 25-7 봉담 신안인스빌아파트 101동 1~3호열,,1
화성시,봉담읍,상5리,2반,상리 25-7 봉담 신안인스빌아파트 101동 4~6호열,,1
화성시,봉담읍,상5리,3반,상리 25-7 봉담 신안인스빌아파트 102동 1~3호열,,1
화성시,봉담읍,상5리,4반,상리 25-7 봉담 신안인스빌아파트 102동 4~6호열,,1
화성시,봉담읍,상5리,5반,상리 25-7 봉담 신안인스빌아파트 103동,,1
화성시,봉담읍,상5리,6반,상리 25-7 봉담 신안인스빌아파트 104동,,1
화성시,봉담읍,상5리,7반,상리 25-7 봉담 신안인스빌아파트 105동 1~3호열,,1
화성시,봉담읍,상5리,8반,상리 25-7 봉담 신안인스빌아파트 105동 4~6호열,,1
화성시,봉담읍,상5리,9반,상리 25-7 봉담 신안인스빌아파트 106동 1~3호열,,1
화성시,봉담읍,상5리,10반,상리 25-7 봉담 신안인스빌아파트 106동 4~6호열,,1
화성시,읍면동,통리,반,관 할 구 역,,0
화성시,봉담읍,상6리,1반,"상리 618 삼봉마을 주공아파트 101동, 상가동",삼봉마을,2
화성시,봉담읍,상6리,2반,상리 618 삼봉마을 주공아파트 102동(101호~908호),삼봉마을,2
화성시,봉담읍,상6리,3반,상리 618 삼봉마을 주공아파트 102동(1001호~1808호),삼봉마을,2
화성시,봉담읍,상6리,4반,상리 618 삼봉마을 주공아파트 103동,삼봉마을,2
화성시,봉담읍,상6리,5반,상리 618 삼봉마을 주공아파트 104동(101호~908호),삼봉마을,2
화성시,봉담읍,상6리,6반,상리 618 삼봉마을 주공아파트 104동(1001호~1807호),삼봉마을,2
화성시,봉담읍,상6리,7반,상리 618 삼봉마을 주공아파트 105동,삼봉마을,2
화성시,봉담읍,상6리,8반,상리 618 삼봉마을 주공아파트 106동(101호~906호),삼봉마을,2
화성시,봉담읍,상6리,9반,상리 618 삼봉마을 주공아파트 106동(1001호~1806호),삼봉마을,2
화성시,봉담읍,상6리,10반,상리 618 삼봉마을 주공아파트 107동,삼봉마을,2
화성시,봉담읍,상7리,1반,"상리 622-1번지 동문굿모닝힐 아파트 101동, 상가동",호수마을동문굿모닝힐아파트,2
화성시,봉담읍,상7리,2반,상리 622-1번지 동문굿모닝힐 아파트 102동,호수마을동문굿모닝힐아파트,2
화성시,봉담읍,상7리,3반,상리 622-1번지 동문굿모닝힐 아파트 103동,호수마을동문굿모닝힐아파트,2
화성시,봉담읍,상7리,4반,상리 622-1번지 동문굿모닝힐 아파트 104동,호수마을동문굿모닝힐아파트,2
화성시,봉담읍,상7리,5반,상리 622-1번지 동문굿모닝힐 아파트 105동,호수마을동문굿모닝힐아파트,2
화성시,봉담읍,상7리,6반,상리 622-1번지 동문굿모닝힐 아파트 106동,호수마을동문굿모닝힐아파트,2
화성시,봉담읍,상8리,1반,봉담2지구 LH2단지 아파트 201동,,0
화성시,봉담읍,상8리,2반,봉담2지구 LH2단지 아파트 202동,,0
화성시,봉담읍,상8리,3반,봉담2지구 LH2단지 아파트 203동,,0
화성시,봉담읍,상8리,4반,봉담2지구 LH2단지 아파트 204동,,0
화성시,봉담읍,상8리,5반,봉담2지구 LH2단지 아파트 205동,,0
화성시,봉담읍,상8리,6반,봉담2지구 LH2단지 아파트 206동,,0
화성시,봉담읍,상9리,1반,화성봉담2 e편한세상신봉담 아파트 101동,,0
화성시,봉담읍,상9리,2반,화성봉담2 e편한세상신봉담 아파트 102동,,0
화성시,봉담읍,상9리,3반,화성봉담2 e편한세상신봉담 아파트 103동,,0
화성시,봉담읍,상9리,4반,화성봉담2 e편한세상신봉담 아파트 104동,,0
화성시,봉담읍,상9리,5반,화성봉담2 e편한세상신봉담 아파트 105동,,0
화성시,봉담읍,상9리,6반,화성봉담2 e편한세상신봉담 아파트 106동,,0
화성시,봉담읍,상9리,7반,화성봉담2 e편한세상신봉담 아파트 107동,,0
화성시,봉담읍,상10리,1반,화성상리1블록 행복주택 101동,,0
화성시,봉담읍,상10리,2반,화성상리1블록 행복주택 102동,,0
